Annotator	Micro F1	Date
TagMe 2		2014-10-21
DBpedia Spotlight	0.11179685592651367	2014-10-21
Wikipedia Miner		2014-10-21
Babelfy		2014-11-04
TagMe 2	0.11541631817817688	2014-11-06
WAT	0.4337349832057953	2014-11-06
Wikipedia Miner	0.204525426030159	2014-11-06
DBpedia Spotlight	0.11177927255630493	2014-11-06
Babelfy		2014-11-06
FOX		2014-11-06
Kea		2014-11-06
NERD-ML		2014-11-06
NERD-ML	0.17603781819343567	2014-11-09
Babelfy	0.14445574581623077	2014-11-09
TagMe 2	0.09049054980278015	2014-11-26
WAT	0.35973596572875977	2014-11-26
Wikipedia Miner	0.13628938794136047	2014-11-26
Babelfy	0.005908419843763113	2014-11-26
DBpedia Spotlight	0.08689484745264053	2014-11-26
NERD-ML	0.13823916018009186	2014-11-26
Kea	0.07406022399663925	2014-11-26
Kea	0.1301664412021637	2014-11-28
DBpedia Spotlight	0.11071807146072388	2014-12-02
TagMe 2	0.11541631817817688	2014-12-03
WAT	0.4333516061306	2014-12-03
Wikipedia Miner	0.204525426030159	2014-12-03
NERD-ML	0.17603781819343567	2014-12-03
Babelfy	0.14445574581623077	2014-12-03
TagMe 2	0.11541631817817688	2014-12-18
Wikipedia Miner	0.204525426030159	2014-12-18
NERD-ML	0.17603781819343567	2014-12-18
Babelfy	0.14445574581623077	2014-12-18
Babelfy	0.14445574581623077	2015-01-08
Wikipedia Miner	0.204525426030159	2015-01-08
NERD-ML	0.17603781819343567	2015-01-08
TagMe 2	0.11541631817817688	2015-01-08
WAT	0.4333516061306	2015-01-08
Kea	0.04842614755034447	2015-01-08
DBpedia Spotlight	0.10930313915014267	2015-01-08
Dexter	0.2931118905544281	2015-01-23
Babelfy	0.1701657474040985	2015-03-02
Dexter	0.2931118905544281	2015-03-02
TagMe 2	0.09893704205751419	2015-03-02
WAT	0.0	2015-03-02
Wikipedia Miner	0.1266457736492157	2015-03-02
NERD-ML	0.1180555522441864	2015-03-02
DBpedia Spotlight		2015-03-02
Kea		2015-03-02
Babelfy	0.22291021049022675	2015-03-02
Babelfy	0.3406299948692322	2015-03-03
Wikipedia Miner	0.204525426030159	2015-03-12
WAT	0.4333516061306	2015-03-17
Dexter	0.2929687201976776	2015-03-18
Babelfy	0.3406299948692322	2015-03-18
TagMe 2	0.11541631817817688	2015-03-18
DBpedia Spotlight	0.11236748099327087	2015-03-18
NERD-ML	0.11935208737850189	2015-03-18
Kea	0.12733224034309387	2015-03-18
Wikipedia Miner	0.204525426030159	2015-03-23
Babelfy	0.33804237842559814	2015-05-04
Dexter	0.0	2015-05-18
Babelfy	0.33804237842559814	2015-05-18
DBpedia Spotlight	0.10957935452461243	2015-05-18
TagMe 2	0.11541631817817688	2015-05-18
WAT	0.43210557103157043	2015-05-18
Wikipedia Miner	0.204525426030159	2015-05-18
NERD-ML	0.17708881199359894	2015-05-18
Kea	0.12761780619621277	2015-05-18
Entityclassifier.eu NER	0.35347431898117065	2015-05-19
Dexter		2015-06-04
Babelfy	0.33804237842559814	2015-06-04
Entityclassifier.eu NER	0.35347431898117065	2015-06-04
DBpedia Spotlight	0.11236748099327087	2015-06-04
TagMe 2	0.11541631817817688	2015-06-04
WAT	0.4323432445526123	2015-06-04
Wikipedia Miner	0.204525426030159	2015-06-04
NERD-ML	0.17708881199359894	2015-06-04
Kea	0.12624692916870117	2015-06-04
Kea	0.0	2015-07-07
WAT	0.35852178931236267	2015-07-07
Babelfy	0.22074688971042633	2015-07-07
Wikipedia Miner	0.13628938794136047	2015-07-07
DBpedia Spotlight	0.09196656197309494	2015-07-07
TagMe 2		2015-07-28
Entityclassifier.eu NER	0.35347431898117065	2015-07-28
Babelfy	0.33804237842559814	2015-07-28
DBpedia Spotlight	0.1151680275797844	2015-07-28
Dexter		2015-08-04
Kea		2015-08-04
TagMe 2		2015-08-04
WAT	0.4310914874076843	2015-08-04
Wikipedia Miner	0.204525426030159	2015-08-04
Babelfy	0.33804237842559814	2015-08-05
Dexter		2015-08-05
DBpedia Spotlight	0.11826492100954056	2015-08-05
NERD-ML		2015-09-14
Dexter		2015-09-22
TagMe 2		2015-09-22
WAT	0.4292035698890686	2015-09-22
WAT	0.4292035698890686	2015-09-30
TagMe 2		2015-09-30
Kea	0.0	2015-11-02
Babelfy	0.22074688971042633	2015-11-02
Entityclassifier.eu NER	0.28398793935775757	2015-11-02
Kea	0.0	2015-11-02
DBpedia Spotlight	0.09057436883449554	2015-11-02
Wikipedia Miner	0.13628938794136047	2015-11-02
NERD-ML	0.13823916018009186	2015-11-02
Dexter		2015-11-02
Babelfy		2015-11-04
DBpedia Spotlight		2015-11-04
Dexter		2015-11-04
Entityclassifier.eu NER		2015-11-04
FOX		2015-11-04
NERD-ML		2015-11-04
TagMe 2		2015-11-04
WAT		2015-11-04
Wikipedia Miner		2015-11-04
DBpedia Spotlight	0.315952503871967	2015-11-09
TagMe 2	0.2754569190600522	2015-11-12
FOX	0.4633077765607886	2015-11-16
DBpedia Spotlight	0.24987093443469277	2015-12-04
Babelfy	0.2049371215649744	2015-12-04
Entityclassifier.eu NER		2015-12-04
Dexter	0.26614987080103364	2015-12-04
FOX	0.442116868798236	2015-12-04
TagMe 2	0.2754569190600522	2015-12-04
WAT	0.39330543933054396	2015-12-04
Wikipedia Miner	0.21859410430839002	2015-12-04
NERD-ML	0.24094604582409465	2015-12-04
Kea		2015-12-04
Babelfy	0.2799770510613884	2015-12-05
DBpedia Spotlight	0.315952503871967	2015-12-05
Dexter	0.32407407407407407	2015-12-05
Entityclassifier.eu NER	0.30734966592427615	2015-12-05
FOX	0.4966814159292035	2015-12-05
TagMe 2	0.3453536754507629	2015-12-05
WAT	0.4619718309859155	2015-12-05
Wikipedia Miner	0.2578875171467764	2015-12-05
NERD-ML	0.26837806301050177	2015-12-05
Kea		2015-12-05
Kea	0.1725579627518054	2016-02-12